top.genre,nrgy,dnce,live,acous
folk-pop,17,39,11,91
'dance pop',76,57,4,0
'dance pop',70,75,11,1
'dance pop',71,83,31,5
latin,81,70,37,9
'canadian latin',47,80,7,25
'british soul',0,0,0,0
pop,65,83,9,58
electropop,52,75,11,41
'canadian contemporary r&b',59,68,14,14
'canadian pop',82,44,11,11
pop,56,85,9,1
'electronic trap',72,65,14,9
'canadian contemporary r&b',82,77,7,43
'canadian pop',66,56,11,13
'dance pop',74,65,24,5
complextro,62,69,12,25
edm,53,64,9,12
'dance pop',78,57,8,8
electropop,65,61,17,3
'dance pop',76,72,18,41
'dance pop',45,74,33,6
'dance pop',91,82,16,9
'dance pop',67,61,17,6
'dance pop',39,58,11,49
latin,82,65,10,23
'australian dance',73,67,6,1
'big room',64,61,12,12
electropop,64,65,9,2
'dance pop',62,33,16,33
'dance pop',79,74,5,10
'dance pop',80,74,25,50
'dance pop',71,84,10,2
'dance pop',80,45,20,8
pop,72,69,5,14
'art pop',37,53,11,49
'boy band',91,53,10,15
'british soul',28,59,15,88
edm,59,63,10,20
'dance pop',51,70,9,8
'canadian contemporary r&b',54,31,7,16
pop,72,93,35,7
'dance pop',87,40,36,17
'electro house',88,69,15,4
'dance pop',87,71,12,3
pop,80,82,15,3
'dance pop',50,87,8,20
'canadian pop',91,71,30,1
'dance pop',81,65,13,12
'dance pop',79,80,22,13
'art pop',57,76,20,2
complextro,93,72,5,3
'dance pop',74,77,9,5
'dance pop',42,74,6,1
'dance pop',87,55,14,0
'dance pop',69,65,4,0
'belgian edm',64,73,8,2
'dance pop',53,74,35,0
'dance pop',75,64,49,4
'dance pop',82,70,45,49
downtempo,50,37,20,6
'dance pop',76,69,14,8
'big room',90,74,8,7
'art pop',67,51,36,58
'dance pop',83,70,36,28
'dance pop',59,77,11,10
'dance pop',53,68,4,14
'dance pop',81,57,4,2
'british soul',84,60,11,2
'australian dance',46,27,14,85
'dance pop',77,76,8,8
'permanent wave',88,43,21,0
'dance pop',86,79,8,4
'dance pop',52,77,13,18
pop,73,82,37,10
